dataset,sequence,frame_idx,state,event_type,source_branch,source_iou,fusion_iou,margin,source_rank,fusion_rank,rgb_iou,tir_iou,rgb_rank,tir_rank,rgb_path,tir_path
RGBT234,womanfaraway,69,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.5488728195842104,0.0,0.5488728195842104,16,1,0.5488728195842104,0.2096779618497426,16,14,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanfaraway/visible/00075v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanfaraway/infrared/00074i.jpg
RGBT234,walkingman41,415,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6042616607884123,0.06330157215090167,0.5409600886375105,5,20,0.1437302191290853,0.6042616607884123,20,5,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/visible/00581v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman41/infrared/00581i.jpg
RGBT234,walking40,285,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.557059599744173,0.02326851863196623,0.5337910811122067,9,19,0.557059599744173,0.061378373974763756,9,6,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walking40/visible/00287v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walking40/infrared/00286i.jpg
RGBT234,walkingman1,276,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.7255899641866763,0.19377545513467503,0.5318145090520012,19,17,0.20716800111544645,0.7255899641866763,17,19,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/visible/00277v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman1/infrared/00277i.jpg
RGBT234,woman4,332,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.7744798210864213,0.2567915064693057,0.5176883146171156,4,11,0.7744798210864213,0.19681572741142803,4,10,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman4/visible/00333v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman4/infrared/00333i.jpg
RGBT234,woman4,331,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.7107155503098088,0.1979643181745781,0.5127512321352308,4,2,0.7107155503098088,0.4464956642741243,4,19,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman4/visible/00332v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman4/infrared/00332i.jpg
RGBT234,walkingwithbag2,1181,both_agree,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.750691429243897,0.23966261733146763,0.5110288119124293,1,4,0.750691429243897,0.7147519751233046,1,6,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingwithbag2/visible/01224v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingwithbag2/infrared/01222i.jpg
RGBT234,woman4,356,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.6942154167213557,0.21611821132007625,0.4780972054012794,11,15,0.6942154167213557,0.39780959575590324,11,5,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman4/visible/00357v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman4/infrared/00357i.jpg
RGBT234,womanwithbag6,79,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.6274581864799813,0.17231140841401815,0.45514677806596315,15,20,0.6274581864799813,0.40286015701410094,15,8,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanwithbag6/visible/00190v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanwithbag6/infrared/00189i.jpg
RGBT234,walkingman12,386,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6370143174623875,0.21049984859156864,0.4265144688708188,20,13,0.3117427999010403,0.6370143174623875,6,20,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman12/visible/00504v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman12/infrared/00502i.jpg
RGBT234,woman1,940,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6902641285077915,0.26948791230704267,0.42077621620074884,20,19,0.16632434190678025,0.6902641285077915,17,20,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman1/visible/02080v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman1/infrared/02079i.jpg
RGBT234,walkingman12,388,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6442693693272784,0.24783083621135113,0.39643853311592725,14,20,0.2612713303431723,0.6442693693272784,6,14,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman12/visible/00506v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman12/infrared/00504i.jpg
RGBT234,woman89,331,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.6040227043492272,0.23331103470408618,0.370711669645141,13,19,0.6040227043492272,0.41591184483795474,13,10,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman89/visible/00333v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman89/infrared/00332i.jpg
RGBT234,twowoman,41,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.5841480156784187,0.22152619986743882,0.36262181581097985,9,6,0.3507109227920759,0.5841480156784187,9,9,/root/autodl-tmp/RGBT234_unrar/RGB-T234/twowoman/visible/00081v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/twowoman/infrared/00081i.jpg
RGBT234,twowoman,40,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.6074997384239145,0.2631861579596486,0.34431358046426586,14,19,0.3262153057791495,0.6074997384239145,6,14,/root/autodl-tmp/RGBT234_unrar/RGB-T234/twowoman/visible/00080v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/twowoman/infrared/00080i.jpg
RGBT234,woman89,311,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.5028953084563319,0.17526583642161697,0.32762947203471493,10,20,0.5028953084563319,0.035520518997879204,10,20,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman89/visible/00313v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman89/infrared/00312i.jpg
RGBT234,woman89,307,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.6109939297726518,0.28929037100055094,0.32170355877210083,13,18,0.6109939297726518,0.48760511051659033,13,13,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman89/visible/00309v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman89/infrared/00308i.jpg
RGBT234,walkingman12,385,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.578591128512016,0.2573356203472964,0.3212555081647196,17,16,0.28053821289056263,0.578591128512016,20,17,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman12/visible/00503v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingman12/infrared/00501i.jpg
RGBT234,woman1,542,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.5729837254127019,0.2994742935425883,0.2735094318701136,13,18,0.442380864366671,0.5729837254127019,9,13,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman1/visible/01682v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman1/infrared/01681i.jpg
